AIRPORT,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,AVG_TAXI_OUT,AVG_AIR_TIME,AVG_DISTANCE,TOTAL_AIR_SYSTEM_DELAY,TOTAL_AIRLINE_DELAY,TOTAL_WEATHER_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,NUM_AIRLINES,NUM_DESTINATIONS,PCT_WEATHER_DELAY,PCT_AIRLINE_DELAY,IATA_CODE,AIRPORT_NAME,STATE,LATITUDE,LONGITUDE,Cluster
11423,666,5,2,0.7507507507507507,0.3003003003003003,5.04855842185129,39.23730403014398,-4.0,-1.2169954476479514,39.307106050887576,12.268588770864946,86.18361153262519,582.0773899848255,454.0,2890.0,24.0,1652.0,8,12,0.4780876494023904,57.56972111553785,0,0,0,0.0,0.0,0
11433,9423,22,16,0.23347129364321342,0.16979730446779157,4.750346297282898,26.917262288313875,-2.0,-1.1069792221630261,28.608743560411547,16.716995205114543,99.42109749600426,693.749600426212,16900.0,27046.0,200.0,14250.0,11,98,0.3424892115898349,46.31481608329337,0,0,0,0.0,0.0,0
11447,46,0,1,0.0,2.1739130434782608,-1.1777777777777778,12.236846163959244,-5.0,-6.4222222222222225,15.389620009617003,15.088888888888889,55.13333333333333,342.0,3.0,14.0,0.0,84.0,1,2,0.0,13.861386138613863,0,0,0,0.0,0.0,0
11471,58,0,0,0.0,0.0,12.758620689655173,87.01206013300938,-2.0,7.293103448275862,86.1396272931317,14.293103448275861,47.53448275862069,269.0,33.0,688.0,0.0,106.0,1,1,0.0,83.19226118500605,0,0,0,0.0,0.0,0
11481,352,0,1,0.0,0.2840909090909091,0.98005698005698,27.994431099205652,-4.0,-3.809116809116809,28.82014230292075,12.62962962962963,62.37891737891738,380.15954415954417,168.0,699.0,0.0,618.0,3,5,0.0,47.070707070707066,0,0,0,0.0,0.0,0
11503,3,0,0,0.0,0.0,-9.666666666666666,5.033222956847166,-9.0,-14.333333333333334,15.044378795195678,15.0,97.0,721.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0,0,0,0.0,0.0,0
11525,50,0,0,0.0,0.0,-5.34,21.107702433965102,-8.0,-3.72,21.19591797435323,13.76,36.64,200.0,48.0,125.0,0.0,8.0,1,1,0.0,69.06077348066299,0,0,0,0.0,0.0,0
11537,184,0,0,0.0,0.0,-0.42934782608695654,24.139969974960966,-4.5,4.326086956521739,27.088242240214274,17.266304347826086,70.08152173913044,400.67391304347825,677.0,471.0,0.0,53.0,1,2,0.0,39.217318900915906,0,0,0,0.0,0.0,0
11540,983,3,3,0.3051881993896236,0.3051881993896236,4.085977482088024,31.327539505141715,-3.0,-0.4032753326509724,32.7234298036386,12.298874104401229,87.510747185261,646.1658137154554,939.0,2003.0,217.0,3034.0,6,12,3.503956079444534,32.34296786694655,0,0,0,0.0,0.0,0
11577,54,0,0,0.0,0.0,-4.203703703703703,6.0388041726057295,-5.0,-6.2592592592592595,9.852085662121528,13.055555555555555,72.5,398.0,32.0,0.0,0.0,0.0,1,1,0.0,0.0,0,0,0,0.0,0.0,0
11587,50,1,0,2.0,0.0,5.1020408163265305,58.48690911148379,-5.0,3.306122448979592,58.46872528741066,13.612244897959183,50.48979591836735,306.0,2.0,440.0,0.0,0.0,1,1,0.0,99.5475113122172,0,0,0,0.0,0.0,0
11603,311,1,1,0.3215434083601286,0.3215434083601286,4.313915857605178,33.882462525016244,-5.0,0.49838187702265374,33.95122787170669,14.255663430420713,87.2135922330097,603.84142394822,689.0,771.0,0.0,1290.0,1,4,0.0,28.03636363636364,0,0,0,0.0,0.0,0
11612,378,1,1,0.26455026455026454,0.26455026455026454,7.300531914893617,89.28395212121255,-6.0,5.36968085106383,89.31185235807845,14.63031914893617,61.12234042553192,335.1808510638298,970.0,3143.0,19.0,1088.0,3,4,0.36398467432950193,60.21072796934865,0,0,0,0.0,0.0,0
11617,52,0,0,0.0,0.0,4.3076923076923075,32.33558014926814,-4.0,4.230769230769231,32.70642761354133,11.384615384615385,73.75,433.0,23.0,290.0,0.0,97.0,1,1,0.0,70.73170731707317,0,0,0,0.0,0.0,0
11618,9079,92,17,1.0133274589712522,0.18724529133164444,8.512263099219622,33.640709081560864,-2.0,-1.8661092530657748,35.948133182671576,18.608695652173914,149.94559643255295,1067.8570791527313,11796.0,26070.0,959.0,39891.0,9,75,1.2183037755983535,33.11906092789268,0,0,0,0.0,0.0,0
11624,141,0,0,0.0,0.0,-3.1773049645390072,11.057178462069182,-6.0,-6.156028368794326,13.809563812260826,9.71631205673759,83.1418439716312,553.6241134751773,55.0,107.0,0.0,127.0,3,2,0.0,37.0242214532872,0,0,0,0.0,0.0,0
11630,166,1,0,0.6024096385542169,0.0,-2.757575757575758,30.001453524777904,-7.0,-3.0484848484848484,29.76263946722755,16.169696969696968,139.87878787878788,1093.581818181818,186.0,507.0,0.0,106.0,1,2,0.0,63.454317897371716,0,0,0,0.0,0.0,0
11637,498,3,2,0.6024096385542169,0.4016064257028112,2.9371196754563895,46.62663172475371,-5.0,-0.5699797160243407,47.846528781751786,14.474645030425963,72.10344827586206,473.27180527383365,507.0,1944.0,0.0,1152.0,4,4,0.0,53.95503746877603,0,0,0,0.0,0.0,0
11638,617,3,0,0.48622366288492713,0.0,4.7882736156351795,44.23112357759448,-5.0,4.208469055374593,44.83843237537162,14.980456026058633,81.61889250814332,554.0993485342019,1429.0,2189.0,61.0,2460.0,2,8,0.993647173806809,35.657273171526306,0,0,0,0.0,0.0,0
11641,141,0,0,0.0,0.0,4.212765957446808,46.43733235088189,-4.0,-0.23404255319148937,46.70555768365296,12.319148936170214,59.90780141843972,331.0,31.0,611.0,0.0,413.0,2,1,0.0,57.91469194312796,0,0,0,0.0,0.0,0
11648,115,0,0,0.0,0.0,-6.278260869565218,7.38959418453083,-8.0,-8.817391304347826,14.369547850079112,15.504347826086956,89.95652173913044,642.4608695652174,185.0,18.0,0.0,28.0,1,2,0.0,7.792207792207792,0,0,0,0.0,0.0,0
11695,150,1,0,0.6666666666666667,0.0,11.194630872483222,38.61393773229953,-1.0,13.013422818791947,39.20596799874562,18.21476510067114,28.140939597315437,119.0,250.0,488.0,275.0,1061.0,1,1,13.25940212150434,23.52941176470588,0,0,0,0.0,0.0,0
11697,5454,39,15,0.7150715071507151,0.27502750275027504,7.21425925925926,33.24966344066909,-2.0,1.1385185185185185,35.68223338884847,13.852777777777778,141.88814814814816,1046.5787037037037,17102.0,13914.0,506.0,16336.0,9,51,1.057294496217978,29.07350913117974,0,0,0,0.0,0.0,0
11721,387,1,0,0.2583979328165375,0.0,-0.689119170984456,17.19246998418755,-5.0,-5.686528497409326,19.85552165331245,11.533678756476684,84.5958549222798,539.0025906735751,380.0,361.0,80.0,442.0,5,6,6.334125098970704,28.582739509105302,0,0,0,0.0,0.0,0
11775,419,2,1,0.47732696897374705,0.23866348448687352,2.641826923076923,35.36323161006812,-4.0,0.1346153846153846,35.19975566517271,14.759615384615385,62.19951923076923,408.6298076923077,366.0,1632.0,106.0,592.0,5,4,3.931750741839762,60.534124629080125,0,0,0,0.0,0.0,0
11778,170,5,1,2.941176470588235,0.5882352941176471,-0.7682926829268293,28.752721409950546,-7.0,-7.2439024390243905,29.789676218740897,11.621951219512194,55.08536585365854,351.4878048780488,13.0,274.0,0.0,544.0,2,2,0.0,32.97232250300842,0,0,0,0.0,0.0,0
11823,482,0,1,0.0,0.2074688796680498,0.23284823284823286,23.05111715468476,-4.0,-2.3347193347193347,25.020204759816544,15.461538461538462,59.25363825363825,334.38045738045736,374.0,1222.0,0.0,515.0,3,5,0.0,57.88725722406443,0,0,0,0.0,0.0,0
11865,83,0,0,0.0,0.0,6.518072289156627,65.68055758760808,-5.0,2.4698795180722892,67.15005717982375,13.795180722891565,58.373493975903614,346.89156626506025,94.0,162.0,542.0,304.0,1,2,49.18330308529946,14.700544464609798,0,0,0,0.0,0.0,0
11867,58,2,0,3.4482758620689653,0.0,-2.5535714285714284,24.46141276144357,-8.0,-10.071428571428571,28.440596556112048,9.392857142857142,64.01785714285714,404.0,64.0,247.0,0.0,0.0,1,1,0.0,79.42122186495176,0,0,0,0.0,0.0,0
11884,782,2,1,0.2557544757033248,0.1278772378516624,4.419768934531451,44.19819430582122,-4.0,1.6700898587933248,44.97634644115728,12.18356867779204,83.997432605905,602.8793324775353,888.0,3312.0,80.0,2200.0,6,8,1.2345679012345678,51.11111111111111,0,0,0,0.0,0.0,0
11898,86,0,0,0.0,0.0,-0.3953488372093023,20.58113303333188,-5.0,2.86046511627907,22.71209203237351,17.709302325581394,49.616279069767444,284.0,154.0,0.0,0.0,366.0,1,1,0.0,0.0,0,0,0,0.0,0.0,0
11905,57,1,1,1.7543859649122806,1.7543859649122806,7.8545454545454545,60.051650047277406,-4.0,5.054545454545455,58.79198048796256,10.49090909090909,35.4,140.0,0.0,215.0,0.0,385.0,1,1,0.0,35.833333333333336,0,0,0,0.0,0.0,0
11921,258,1,1,0.3875968992248062,0.3875968992248062,6.44140625,56.43275092389382,-6.0,5.6640625,57.114714610159794,14.56640625,84.1484375,559.69921875,669.0,1312.0,115.0,1070.0,3,5,3.632343651295009,41.440303221730886,0,0,0,0.0,0.0,0
11953,221,0,0,0.0,0.0,5.791855203619909,30.166539661998677,-4.0,3.5384615384615383,31.185874065973223,12.321266968325792,52.588235294117645,298.5339366515837,153.0,573.0,0.0,1290.0,3,2,0.0,28.422619047619047,0,0,0,0.0,0.0,0
