ROUTE,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,DISTANCE,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,MEDIAN_ARR_DELAY,AVG_AIR_TIME,STD_AIR_TIME,AVG_TAXI_OUT,AVG_TAXI_IN,AVG_ELAPSED_TIME,NUM_AIRLINES,DAILY_FREQUENCY,DELAY_VARIABILITY,Cluster
10397-13360,116,0,0,442,0.0,0.0,2.0258620689655173,15.833075565381177,-3.0,-4.370689655172414,15.559998978659737,-8.0,62.64655172413793,3.0906712661753977,15.922413793103448,4.525862068965517,83.09482758620689,1,0.3178082191780822,2.8972068724310263,2
10397-13377,108,0,0,448,0.0,0.0,5.222222222222222,28.28669425102711,-3.0,4.0092592592592595,28.26427201155855,-2.5,71.30555555555556,4.392981516505782,17.324074074074073,3.675925925925926,92.30555555555556,1,0.2958904109589041,5.642405503231651,2
10397-13422,189,0,1,302,0.0,0.5291005291005291,5.707446808510638,26.201901140811852,-2.0,3.7180851063829787,27.26676087693568,-2.0,52.42553191489362,5.030366316387989,17.117021276595743,3.882978723404255,73.42553191489361,2,0.5178082191780822,5.779200727016807,2
10397-13487,456,0,0,907,0.0,0.0,3.526315789473684,16.669619942701868,-1.0,-10.949561403508772,19.1708248982598,-14.0,128.9517543859649,6.508310595344642,17.81798245614035,5.765350877192983,152.53508771929825,3,1.2493150684931507,1.604312012040093,2
10397-13495,526,0,0,425,0.0,0.0,3.0228136882129277,18.659542496088083,-2.0,-4.7034220532319395,20.051064992036334,-9.0,66.36311787072243,5.330173674771095,14.709125475285171,5.61596958174905,86.68821292775665,3,1.441095890410959,3.515620061937037,2
10397-13577,144,0,0,317,0.0,0.0,7.569444444444445,24.733164162302593,-1.0,0.09027777777777778,24.661034408639836,-7.0,47.80555555555556,3.3559836505302374,16.944444444444443,3.576388888888889,68.32638888888889,2,0.39452054794520547,22.619037928943545,2
10397-13795,112,0,0,399,0.0,0.0,9.035714285714286,28.994540825531235,-2.0,6.982142857142857,29.474368814080094,-3.0,59.142857142857146,4.537843165207521,17.285714285714285,3.5892857142857144,80.01785714285714,1,0.30684931506849317,3.692538374918312,2
10397-13851,200,0,0,761,0.0,0.0,0.065,11.112072976233815,-2.0,-10.065,14.602291243080266,-13.0,107.505,4.3571664528093805,15.57,4.22,127.295,2,0.547945205479452,1.3196828958951892,2
10397-13871,147,0,0,821,0.0,0.0,0.8571428571428571,9.807740862294324,-2.0,-9.285714285714286,12.004565341614661,-11.0,117.36734693877551,4.418332966258522,15.97278911564626,4.659863945578231,138.0,1,0.40273972602739727,1.1671105193236475,2
10397-13930,720,2,0,606,0.2777777777777778,0.0,6.119777158774373,31.898673677396847,-1.0,-1.967966573816156,33.718836291078375,-9.0,92.90947075208913,5.246917883746676,15.686629526462395,10.637883008356546,119.23398328690807,8,1.9726027397260273,11.360921847486754,2
10397-13931,258,0,0,516,0.0,0.0,3.9108527131782944,18.08894470860113,-1.0,-4.3604651162790695,18.56773033786188,-9.0,68.7248062015504,3.4817261922028284,16.08139534883721,3.872093023255814,88.67829457364341,1,0.7068493150684931,3.4638282192106766,2
10397-14027,382,0,1,545,0.0,0.2617801047120419,4.044619422572178,16.348204590768425,-1.0,-4.601049868766404,17.986205209611164,-9.0,78.85826771653544,4.734072036199776,17.191601049868765,4.968503937007874,101.01837270341207,2,1.0465753424657533,3.2112203303007747,2
10397-14098,114,0,2,508,0.0,1.7543859649122806,4.160714285714286,18.801741136274316,-3.0,-0.35714285714285715,21.23182090142574,-7.0,72.48214285714286,5.392657909673058,18.160714285714285,4.089285714285714,94.73214285714286,1,0.31232876712328766,15.64449961157686,2
10397-14100,615,2,0,666,0.3252032520325203,0.0,5.730831973898858,25.029087237988094,-2.0,-2.4159869494290374,28.932785622354288,-10.0,93.59869494290375,6.384632151174233,17.375203915171287,6.597063621533442,117.57096247960848,5,1.6849315068493151,8.469817376553571,2
10397-14107,332,0,0,1587,0.0,0.0,4.286144578313253,18.853050452773,-1.0,-8.132530120481928,21.214497171884318,-11.0,215.13253012048193,9.195126890578162,16.82831325301205,6.951807228915663,238.91265060240963,3,0.9095890410958904,2.3229594528580453,2
10397-14122,316,0,0,526,0.0,0.0,1.240506329113924,13.010584399229865,-2.0,-6.8575949367088604,14.740355121839592,-9.0,72.5126582278481,3.584335127777232,15.386075949367088,5.610759493670886,93.50949367088607,2,0.8657534246575342,1.8759372607737863,2
10397-14193,204,0,0,271,0.0,0.0,1.9558823529411764,10.240122704866456,-2.0,-5.627450980392157,12.330363474822251,-9.0,46.43627450980392,3.1887823460345386,16.642156862745097,4.303921568627451,67.38235294117646,1,0.5589041095890411,1.8604986308163751,2
10397-14492,465,0,0,356,0.0,0.0,2.587096774193548,15.190792539414401,-2.0,-5.376344086021505,16.8949045946007,-9.0,54.10752688172043,3.171337031723395,16.081720430107527,4.554838709677419,74.74408602150538,2,1.273972602739726,2.649622474364022,2
